breach_id,breach_location_id,scenario_id,scenario_name,return_period,discharge_m3s,breach_name,dijkring,river,damage_MEUR,victims,affected,model_resolution,initial_breach_width,max_breach_width,breach_growth_method,scenario_layer,map_id,id,breachtypes_id,dijkringareas_id,openwaters_id,name,code,x,y,notify,lt30,f30t300,f300t3000,f3000t30k,gt30k,dreigende_overstroming,geometry_type,geometry_x,geometry_y
393,393,3801,Beugen_mhw bres100m,1250,,Beugen,Dijkring 36 - Land van Heusden/de Maaskant,Maas,550,13,13348,"100,0","12,0","100,0", ,scenario_3801,5331,393,2,38.0,62,Beugen,PRIM,193550,408750,,1,1,1,0,0,0.0,Point,193550,408750
395,395,12485,0_Zwin 1/400 standaard,400,,BeWest - 7,Dijkring 32 - Zeeuwsch Vlaanderen,Noordzee,5,0,11,"25,0","10,0", , ,scenario_12485,362,395,2,33.0,76,BeWest - 7,PRIM,14685,376278,,0,0,1,1,1,0.0,Point,14685,376278
395,395,12483,0_Zwin 1/4000 standaard,4000,,BeWest - 7,Dijkring 32 - Zeeuwsch Vlaanderen,Noordzee,28,0,81,"25,0","10,0", , ,scenario_12483,355,395,2,33.0,76,BeWest - 7,PRIM,14685,376278,,0,0,1,1,1,0.0,Point,14685,376278
395,395,12484,0_Zwin 1/40000 standaard,40000,,BeWest - 7,Dijkring 32 - Zeeuwsch Vlaanderen,Noordzee,60,0,302,"25,0","10,0", , ,scenario_12484,348,395,2,33.0,76,BeWest - 7,PRIM,14685,376278,,0,0,1,1,1,0.0,Point,14685,376278
405,405,20975,RD01_Bislich_tp2,1250,,Bislich2,Dijkring 48 - Rijn en IJssel,Boven Rijn,19000,870,142014,"100,0","-999,0", , ,scenario_20975,23461,405,2,51.0,18,Bislich2,PRIM,233849,410264,,0,0,1,1,0,0.0,Point,233849,410264
405,405,20974,RD01_Bislich_tpp1d,12500,,Bislich2,Dijkring 48 - Rijn en IJssel,Boven Rijn,24000,1239,166142,"100,0","-999,0", , ,scenario_20974,23517,405,2,51.0,18,Bislich2,PRIM,233849,410264,,0,0,1,1,0,0.0,Point,233849,410264
407,407,18041,Toetspeil,1250,,Bloemendalerpolder,Dijkring 44 - Kromme Rijn,Markermeer,8,0,1373,"100,0","10,0", ,automatisch,scenario_18041,25828,407,2,47.0,64,Bloemendalerpolder,PRIM,132686,483238,,0,0,1,1,0,0.0,Point,132686,483238
407,407,18042,Toetspeil+1,12500,,Bloemendalerpolder,Dijkring 44 - Kromme Rijn,Markermeer,9,0,1373,"100,0","10,0", ,automatisch,scenario_18042,25891,407,2,47.0,64,Bloemendalerpolder,PRIM,132686,483238,,0,0,1,1,0,0.0,Point,132686,483238
429,429,328,Bokhoven_tp+1d,-9999,,Bokhoven,Dijkring 36 - Land van Heusden/de Maaskant,Maas,6100,254,65995,"100,0","35,0","300,0", ,scenario_328,5789,429,2,38.0,62,Bokhoven,PRIM,143150,416750,Deze overstroming kan bij bovenmaatgevende omstandigheden tot nieuwe dijkdoorbraken leiden op benedenstroomse locaties in dijkring 35 via het Drongelens Kanaal.,1,1,1,0,0,0.0,Point,143150,416750
429,429,4908,Bokhoven_tp-1d,125,,Bokhoven,Dijkring 36 - Land van Heusden/de Maaskant,Maas,520,16,5035,"100,0","12,0","100,0", ,scenario_4908,5782,429,2,38.0,62,Bokhoven,PRIM,143150,416750,Deze overstroming kan bij bovenmaatgevende omstandigheden tot nieuwe dijkdoorbraken leiden op benedenstroomse locaties in dijkring 35 via het Drongelens Kanaal.,1,1,1,0,0,0.0,Point,143150,416750
429,429,326,Bokhoven_mhw bres100m,1250,,Bokhoven,Dijkring 36 - Land van Heusden/de Maaskant,Maas,1500,79,20115,"100,0","12,0","100,0", ,scenario_326,5775,429,2,38.0,62,Bokhoven,PRIM,143150,416750,Deze overstroming kan bij bovenmaatgevende omstandigheden tot nieuwe dijkdoorbraken leiden op benedenstroomse locaties in dijkring 35 via het Drongelens Kanaal.,1,1,1,0,0,0.0,Point,143150,416750
430,430,13056,Bomhofsplas 1/125 jaar (431 m3/s),125,431.0,Bomhofsplas,Dijkring 09 - Vollenhove,Vecht,1300,11,6294,"50,0","20,0","200,0",vast,scenario_13056,5810,430,2,,101,Bomhofsplas,PRIM,206040,506224,,0,1,1,1,0,0.0,Point,206040,506224
430,430,13057,Bomhofsplas 1/1250 jaar (550 m3/s),1250,550.0,Bomhofsplas,Dijkring 09 - Vollenhove,Vecht,1600,19,9345,"50,0","20,0","200,0",vast,scenario_13057,5803,430,2,,101,Bomhofsplas,PRIM,206040,506224,,0,1,1,1,0,0.0,Point,206040,506224
430,430,13058,Bomhofsplas 1/12500 jaar (670 m3/s),12500,670.0,Bomhofsplas,Dijkring 09 - Vollenhove,Vecht,2000,34,17152,"50,0","20,0","200,0",vast,scenario_13058,5796,430,2,,101,Bomhofsplas,PRIM,206040,506224,,0,1,1,1,0,0.0,Point,206040,506224
435,435,3727,Boonweg_TPminus1D,400,,Boonweg,Dijkring 06 - Friesland en Groningen,Waddenzee,230,6,1381,"100,0","-9999,0","96,0", ,scenario_3727,5829,435,2,,108,Boonweg,PRIM,168515,590419,,0,0,1,1,1,0.0,Point,168515,590419
435,435,17980,Boonweg_tp_5bressen,4000,,Boonweg,Dijkring 06 - Friesland en Groningen,Waddenzee,1500,31,16945,"100,0","-999,0", ,automatisch,scenario_17980,5822,435,2,,108,Boonweg,PRIM,168515,590419,,0,0,1,1,1,0.0,Point,168515,590419
