breach_id,return_period,log_damage
2192,400000,8.31898612539206
2193,400,7.937731775260109
2193,4000,8.188966863648876
2193,40000,8.412054873292933
2193,400000,8.612685172875459
2194,400,6.734591659972948
2194,4000,7.244941546337007
2194,40000,7.601402334583733
2194,400000,7.824445930877619
2195,400,5.14166355650266
2195,4000,5.993961427306569
2195,40000,6.3818160174060985
2195,400000,6.769641976852503
2196,40000,4.709530201312334
2197,400,3.5263605246161616
2197,4000,3.5553480614894135
2197,400000,5.564520407322694
2198,-9999,10.34177474101152
2198,125,8.824824939175638
2198,1250,9.798182590890704
2208,125,9.305741456739435
2208,1250,9.392745258631441
2208,12500,9.798182590890704
2252,125,7.3783837129967145
2252,1250,7.550135342488429
2252,12500,7.696667081526462
2265,125,4.61512051684126
2265,1250,5.14166355650266
2265,10000,5.5254529391317835
2266,400,5.993961427306569
2266,4000,5.5254529391317835
2266,40000,6.133398042996649
2266,400000,6.19644412779452
2272,1000,8.853808274977197
2272,10000,8.987321812850125
2272,100000,9.200391041122515
2272,1000000,9.392745258631441
2273,1250,10.308985993422082
2273,12500,10.434145214930487
2283,-9999,9.61587214452889
2284,400,9.99884318585288
2284,4000,10.043292972227004
2284,40000,10.085850775128717
2284,400000,10.085850775128717
2296,400,6.175867270105761
2296,4000,6.274762021241939
2296,40000,6.508769136971682
2296,400000,7.00397413672268
2297,400,6.2166061010848646
2297,4000,6.447305862541213
2297,40000,6.734591659972948
2297,400000,7.00397413672268
2298,4000,2.302585092994046
2298,40000,2.302585092994046
2298,400000,2.5649493574615367
2299,400,7.313886831633462
2299,4000,7.313886831633462
2299,40000,7.3783837129967145
2299,400000,7.3783837129967145
2300,4000,4.382026634673881
2300,40000,4.394449154672439
2300,400000,4.406719247264253
2301,4000,2.9444389791664403
2301,40000,2.995732273553991
2301,400000,2.995732273553991
2302,4000,3.295836866004329
2302,40000,3.332204510175204
2302,400000,3.367295829986474
2303,4000,5.993961427306569
2303,40000,6.111467339502679
2303,400000,6.274762021241939
2304,4000,1.0986122886681098
2304,40000,1.0986122886681098
2304,400000,1.0986122886681098
2305,4000,5.638354669333745
2305,40000,5.942799375126701
2305,400000,6.255750041753367
2306,4000,2.0794415416798357
2306,40000,2.0794415416798357
2306,400000,2.0794415416798357
2307,4000,6.792344427470809
2307,40000,6.85751406254539
2307,400000,6.90875477931522
2308,4000,5.771441123130016
2308,40000,5.802118375377063
2308,400000,5.831882477283517
2309,4000,5.017279836814924
2309,40000,5.081404364984463
2309,400000,5.14166355650266
2310,4000,6.493753839851686
2310,40000,6.55250788703459
2310,400000,6.608000625296087
2311,40000,0.6931471805599453
2311,400000,2.1972245773362196
2312,4000,6.478509642208569
2312,40000,6.55250788703459
2312,400000,6.608000625296087
2313,4000,2.3978952727983707
2313,40000,2.3978952727983707
2313,400000,2.3978952727983707
2314,4000,5.484796933490655
2314,40000,5.564520407322694
2314,400000,5.638354669333745
2315,400,5.484796933490655
2315,4000,5.564520407322694
2315,40000,5.707110264748875
2315,400000,5.802118375377063
2316,400,7.972810784121404
2316,4000,7.972810784121404
2316,40000,8.188966863648876
2316,400000,8.366602832783736
2317,400,1.3862943611198906
2317,4000,1.6094379124341003
