breach_id,geometry_x,geometry_y,river,dijkring,breach_name,initial_breach_width,breach_growth_method
556,143061,440918,Lek,"Dijkring 43 - Betuwe, Tieler- en Culemborgerwaard",Culemborg,"-999,0",vast
557,214793,502318,Vecht,Dijkring 09 - Vollenhove,Dalfsen,"20,0",vast
601,218729,423599,Boven Rijn,Dijkring 48 - Rijn en IJssel,Deichstation,"-999,0", 
602,201750,486450,IJssel,Dijkring 52 - Oost Veluwe,DeNijenstee,"-9999,0",vast
603,208232,473542,IJssel,Dijkring 53 - Salland,Deventer,"20,0",vast
604,205456,477708,IJssel,Dijkring 53 - Salland,Deventer Noord,"20,0",vast
605,170150,425750,Maas,Dijkring 36 - Land van Heusden/de Maaskant,Dieden,"35,0", 
637,208488,602607,Waddenzee,Dijkring 06 - Friesland en Groningen,Dijkringtraject 1 Lauwersmeer,"10,0",automatisch
638,267576,589130,Waddenzee,Dijkring 06 - Friesland en Groningen,Dijkringtraject 10 Woldendorp,"10,0",automatisch
639,271658,584637,Waddenzee,Dijkring 06 - Friesland en Groningen,Dijkringtraject 11 Carel Coenraadpolder,"10,0",automatisch
640,275090,584112,Waddenzee,Dijkring 06 - Friesland en Groningen,Dijkringtraject 12 West van Nieuwe Statenzijl,"10,0",automatisch
641,220012,602463,Waddenzee,Dijkring 06 - Friesland en Groningen,Dijkringtraject 2 Kloosterburen,"10,0",automatisch
642,227544,604508,Waddenzee,Dijkring 06 - Friesland en Groningen,Dijkringtraject 3 Homanpolder,"10,0",automatisch
643,232903,605280,Waddenzee,Dijkring 06 - Friesland en Groningen,Dijkringtraject 4 Warffum,"10,0",automatisch
644,238647,607588,Waddenzee,Dijkring 06 - Friesland en Groningen,Dijkringtraject 5 Lauwerpolder,"10,0",automatisch
645,245110,608890,Waddenzee,Dijkring 06 - Friesland en Groningen,Dijkringtraject 6 Westelijk van Eemshaven,"10,0",automatisch
646,250993,606915,Waddenzee,Dijkring 06 - Friesland en Groningen,Dijkringtraject 7 Oudeschip,"10,0",automatisch
647,254944,598668,Waddenzee,Dijkring 06 - Friesland en Groningen,Dijkringtraject 8 Holwierde,"10,0",automatisch
648,263362,592072,Waddenzee,Dijkring 06 - Friesland en Groningen,Dijkringtraject 9 Borgsweer,"10,0",automatisch
649,156583,572206,Waddenzee,Dijkring 06 - Friesland en Groningen,Dijksterburen,"-9999,0", 
654,73576,398810,Schelde - Rijnkanaal,Dijkring 27 - Tholen en St. Philipsland,dkr27_Bres4,"10,0",automatisch
690,207029,448217,IJssel,Dijkring 49 - IJsselland,Doesburg-noord,"-999,0",vast
691,206613,446706,IJssel,Dijkring 49 - IJsselland,Doesburg-zuid,"-999,0",vast
692,134150,414850,Bergsche Maas,Dijkring 36 - Land van Heusden/de Maaskant,Doeveren,"12,0", 
693,118689,414136,Bergsche Maas,Dijkring 35 - Donge,Dombosch,"-999,0",vast
695,117554,411704,Donge,Dijkring 35 - Donge,Donge,"-999,0",vast
697,102394,421226,Dordtsche Kil,Dijkring 21 - Hoekse Waard,"Dordtsche Kil km 982,2 (Dkr21 km 19,0)","10,0",automatisch
698,102718,421030,Dordtsche Kil,Dijkring 22 - Eiland van Dordrecht,"Dordtsche Kil km 982,3 (Dkr22 km 27,8)","10,0",automatisch
699,102320,419847,Dordtsche Kil,Dijkring 21 - Hoekse Waard,"Dordtsche Kil km 983,5 (Dkr21 km 20,4)","10,0",automatisch
700,102627,419642,Dordtsche Kil,Dijkring 22 - Eiland van Dordrecht,"Dordtsche Kil km 983,7 (Dkr22 km 26,4)","10,0",automatisch
701,102847,418670,Dordtsche Kil,Dijkring 22 - Eiland van Dordrecht,"Dordtsche Kil km 984,8 (Dkr22 km 25,4)","10,0",automatisch
702,218400,425100,Boven Rijn,Dijkring 48 - Rijn en IJssel,Dornick,"-999,0", 
740,158650,430600,Waal,Dijkring 41 - Land van Maas en Waal,Dreumel,"-9999,0",vast
741,114419,413847,Amer,Dijkring 34 - West-Brabant,Drimmelen Oost,"12,0", 
742,112936,414328,Amer,Dijkring 34 - West-Brabant,Drimmelen West,"12,0", 
743,134390,412760,Drongelens Kanaal,Dijkring 35 - Donge,Drongelens kanaal (doorbraak vanuit C-kering),"-999,0",vast
744,176554,511085,Ketelmeer/Vossemeer,Dijkring 08 - Flevoland,Dronten,"-999,0", 
745,168450,433750,Waal,Dijkring 41 - Land van Maas en Waal,Druten,"-9999,0",vast
746,112850,558175,Waddenzee,Dijkring 05 - Texel,DUINEN TEXEL_2,"10,0", 
