source,target,distance_km,same_river,same_dijkring
70,259,2.5955411767105523,0,1
71,42,1.5366333329717927,1,1
71,92,4.861726648013028,1,0
71,91,6.691822472241774,1,0
71,249,8.733493516342701,1,0
71,453,9.299978494598792,1,1
72,464,2.143728527589256,1,0
72,463,3.149430742213583,1,0
72,438,4.275853715926212,1,0
72,2,4.725336178516827,0,1
72,486,5.165810875361195,1,0
73,74,1.5590542004689893,1,1
73,95,2.335917164627205,0,0
73,65,3.797456253862577,0,0
73,64,4.279768802166771,0,0
73,513,5.099443302949842,0,1
74,73,1.5590542004689893,1,1
74,95,3.882323144716318,0,0
74,207,4.406646116946537,1,1
74,65,5.3114310689304824,0,0
74,64,5.75620300197969,0,0
75,63,2.1037347741576173,0,0
75,100,3.1454451195339588,0,0
75,37,5.829794164462412,0,1
75,152,7.042137459606991,0,0
75,15,7.485681398510092,0,0
76,589,10.829063209714864,0,0
76,187,12.710547627856165,0,0
76,31,14.590175632938763,0,0
76,183,14.772747916349212,0,0
76,94,15.181331990309678,0,0
77,184,3.5499302810055298,1,0
77,197,6.744046337325982,0,0
77,5,6.772370338367506,0,1
77,116,7.450167783345553,0,0
77,46,8.178630692236935,0,0
78,590,2.814693589007514,1,1
78,147,4.99616012553641,0,0
78,146,5.702128462249864,0,0
78,144,5.851262598790111,0,0
78,409,6.376027132941013,1,1
79,80,6.036230943229392,1,1
79,593,8.994371851330142,0,1
79,182,9.217701937033981,0,1
79,409,9.25473376170271,0,1
79,590,9.62435062744495,0,1
80,88,4.934644262760995,0,1
80,591,5.573424441041611,0,1
80,185,5.843347328372668,0,1
80,592,5.91470455728771,0,1
80,79,6.036230943229392,1,1
81,469,1.890887622255749,1,1
81,427,2.182663510484381,1,1
81,468,5.6899794375726875,1,1
81,3,6.214087624100581,0,0
81,20,6.481408797476055,1,0
82,402,1.4165722713649311,1,0
82,195,2.085448872545189,1,0
82,64,4.638023824863344,1,0
82,37,5.586104546103662,1,0
82,403,6.404761041600225,0,1
83,190,3.5753637577175277,1,0
83,197,7.3670507667587035,1,1
83,437,7.905898177942845,0,1
83,438,8.815134315482663,0,1
83,184,9.609908272194902,0,1
84,240,1.6926242938112404,1,0
84,599,1.9130290118030098,1,1
84,473,5.684723124304296,1,1
84,106,6.346877657557297,1,0
84,39,6.569716051702692,1,0
85,499,3.9385435125183017,0,1
85,435,5.118043083054304,1,1
85,301,5.611654390640964,0,1
85,6,8.682717604529126,0,1
85,105,9.085721655432769,0,0
86,233,2.4784906697423734,1,0
86,397,3.2810059433045837,0,1
86,430,3.3309608223454084,1,0
86,398,3.3354569402107415,0,1
86,487,3.4085495448944263,1,1
87,50,1.4550635724943428,0,1
87,49,4.857628330780361,0,1
87,48,10.098081500958486,0,1
87,58,15.210943757702873,0,1
87,57,25.845667683385546,0,1
88,185,1.737214436965109,1,1
88,591,3.049698017837176,1,1
88,80,4.934644262760995,0,1
88,592,5.345140971012832,1,1
88,302,9.07261731806208,1,1
89,411,2.430226326908669,1,0
89,235,3.2420302281132423,1,1
89,145,3.872517140052449,1,0
89,416,7.275713092199279,0,0
89,4,7.912838491969869,0,1
90,440,2.1576053856069235,1,1
90,433,2.7232320870612554,1,0
90,91,3.9257834886809535,1,0
90,115,5.339420286885084,1,1
90,148,6.30574063849759,1,1
91,90,3.9257834886809535,1,0
91,433,5.041292790544902,1,1
91,440,6.035839378247237,1,0
91,71,6.691822472241774,1,0
91,42,7.478649744439166,1,0
92,42,3.3305398961729917,1,0
92,249,4.5669470108596615,1,1
92,71,4.861726648013028,1,0
92,453,6.2696400215642365,1,0
92,28,7.0998436602505555,1,1
93,234,2.7920404724860277,1,1
93,38,5.376847124477317,1,1
93,518,6.62758515599762,1,1
93,519,7.971778032534524,1,1
93,153,10.769433875557247,1,1
94,183,2.11859670536891,1,1
94,187,2.8563000542660077,1,0
94,441,2.938898092823227,1,1
94,104,3.7215588131856787,0,1
94,188,3.827041938625706,1,0
95,65,1.9764212607640104,0,0
95,64,2.060605736185358,1,0
95,73,2.335917164627205,0,0
95,74,3.882323144716318,0,0
95,514,3.898266281310193,0,0
96,97,0.15700318468107582,0,1
96,154,2.576941016011038,0,1
96,230,2.756781093957226,0,1
96,138,3.905406636958564,0,0
96,415,5.877286788986905,0,1
97,96,0.15700318468107582,0,1
97,154,2.442135336135162,0,1
97,230,2.8952464489227854,1,1
97,138,3.7983023839604977,0,0
97,415,5.7976417619580465,0,1
98,62,1.396127859474196,1,0
98,61,2.3806032848838967,1,0
98,206,4.306987926614143,1,0
98,598,4.873775128173231,1,0
98,407,6.844628331764991,1,0
